노선번호,도로명,이정,X좌표값,Y좌표값,GRS80X좌표값,GRS80Y좌표값
500,영동선,156.4,37.4823455,128.1684991,303351.2478,543186.0655
500,영동선,156.5,37.48258801,128.1695876,303447.193,543214.1775
500,영동선,156.6,37.48290546,128.1706451,303540.2899,543250.5751
500,영동선,156.7,37.48331335,128.1716523,303628.8117,543296.9567
500,영동선,156.8,37.4838071,128.1725969,303711.6815,543352.7993
500,영동선,156.9,37.48438777,128.1734604,303787.2576,543418.2008
500,영동선,157,37.48503617,128.1742445,303855.7099,543491.0332
500,영동선,157.1,37.4857322,128.1749622,303918.2242,543569.0802
500,영동선,157.2,37.486428,128.1756803,303980.7734,543647.1015
500,영동선,157.3,37.48712382,128.1763984,304043.3178,543725.127
500,영동선,157.4,37.48780812,128.1771332,304107.3593,543801.8916
500,영동선,157.5,37.48842993,128.17795,304178.7381,543871.812
500,영동선,157.6,37.48897102,128.1788531,304257.8581,543932.8692
500,영동선,157.7,37.48943387,128.1798221,304342.9216,543985.3161
500,영동선,157.8,37.4898022,128.1808532,304433.5995,544027.3416
500,영동선,157.9,37.49006992,128.1819318,304528.6185,544058.2539
500,영동선,158,37.49023884,128.1830413,304626.5089,544078.2349
500,영동선,158.1,37.49030196,128.1841686,304726.121,544086.495
500,영동선,158.2,37.490296,128.185299,304826.1029,544087.0913
500,영동선,158.3,37.49028243,128.1864294,304926.0988,544086.8446
500,영동선,158.4,37.49026766,128.1875598,305026.0939,544086.4662
500,영동선,158.5,37.49025344,128.1886902,305126.0922,544086.1497
500,영동선,158.6,37.49023839,128.1898206,305226.0844,544085.743
500,영동선,158.7,37.49029724,128.1909485,305325.7551,544093.5362
500,영동선,158.8,37.49044295,128.1920636,305424.1718,544110.9573
500,영동선,158.9,37.49064477,128.1931654,305521.3363,544134.5934
500,영동선,159,37.49084592,128.1942675,305618.5195,544158.1549
500,영동선,159.1,37.49108838,128.1953547,305714.3323,544186.287
500,영동선,159.2,37.49124005,128.1964685,305812.6236,544204.3731
500,영동선,159.3,37.49128636,128.1975969,305912.3569,544210.7825
500,영동선,159.4,37.49131707,128.1987268,306012.2437,544215.4632
500,영동선,159.5,37.49138832,128.1998537,306111.8055,544224.6415
500,영동선,159.6,37.49149479,128.200976,306210.9144,544237.7245
500,영동선,159.7,37.49168584,128.2020807,306308.3458,544260.1775
500,영동선,159.8,37.491925,128.2031706,306404.3982,544287.9538
500,영동선,159.9,37.49221876,128.2042392,306498.4871,544321.7679
500,영동선,160,37.49256435,128.2052831,306590.316,544361.3079
500,영동선,160.1,37.49296624,128.2062947,306679.2103,544407.0609
500,영동선,160.2,37.49340598,128.2072815,306765.8528,544456.9884
500,영동선,160.3,37.49385616,128.2082608,306851.8202,544508.0666
500,영동선,160.4,37.49426539,128.2092676,306940.2716,544554.6323
500,영동선,160.5,37.49459763,128.2103181,307032.7059,544592.7021
500,영동선,160.6,37.49484783,128.2114036,307128.3501,544621.7083
500,영동선,160.7,37.49500891,128.2125155,307226.4463,544640.8531
500,영동선,160.8,37.49508046,128.213642,307325.9658,544650.0789
500,영동선,160.9,37.49506717,128.2147721,307425.9335,544649.8938
500,영동선,161,37.49500876,128.2159004,307525.7941,544644.6982
500,영동선,161.1,37.49498152,128.21703,307625.7365,544642.966
500,영동선,161.2,37.49503739,128.218158,307725.4097,544650.4587
500,영동선,161.3,37.49517996,128.2192739,307823.893,544667.5604
500,영동선,161.4,37.49541284,128.2203656,307920.1017,544694.66
500,영동선,161.5,37.49572737,128.2214247,308013.3092,544730.7853
500,영동선,161.6,37.49609994,128.222454,308103.8055,544773.3207
500,영동선,161.7,37.49647683,128.223481,308194.0817,544816.3332
500,영동선,161.8,37.49685301,128.2245084,308284.3948,544859.268
500,영동선,161.9,37.49723071,128.2255349,308374.6266,544902.3719
500,영동선,162,37.49761021,128.2265603,308464.7632,544945.6757
500,영동선,162.1,37.49798677,128.2275875,308555.0543,544988.6565
500,영동선,162.2,37.49836589,128.2286132,308645.2106,545031.9193
500,영동선,162.3,37.49875983,128.2296297,308734.529,545076.8183
500,영동선,162.4,37.49920496,128.2306124,308820.7883,545127.3612
500,영동선,162.5,37.49966125,128.2315874,308906.341,545179.1339
500,영동선,162.6,37.50012839,128.232554,308991.1404,545232.103
500,영동선,162.7,37.50066676,128.2334598,309070.4588,545292.9086
500,영동선,162.8,37.50128489,128.2342814,309142.2181,545362.4691
500,영동선,162.9,37.50197673,128.2350048,309205.1786,545440.099
500,영동선,163,37.50272294,128.2356374,309260.033,545523.6579
500,영동선,163.1,37.50349068,128.2362289,309311.2183,545609.5591
500,영동선,163.2,37.50425233,128.2368327,309363.4912,545694.7995
500,영동선,163.3,37.50496444,128.2375242,309423.5994,545774.6437
500,영동선,163.4,37.50560844,128.2383142,309492.5153,545847.0419
500,영동선,163.5,37.50616954,128.2391979,309569.8347,545910.3503
500,영동선,163.6,37.50667812,128.2401312,309651.6179,545967.886
500,영동선,163.7,37.50718399,128.2410667,309733.5995,546025.1262
500,영동선,163.8,37.50774389,128.2419515,309811.0141,546088.3038
500,영동선,163.9,37.50839412,128.2427322,309879.0943,546161.3868
500,영동선,164,37.50912776,128.2433871,309935.9181,546243.581
500,영동선,164.1,37.50991818,128.2439289,309982.664,546331.9459
